Date, Price (USD), Market Cap (USD), Volume (USD)
2023-11-13, 37067.70, 725016899532.04, 8831221164.41
2023-11-14, 36549.16, 714263437353.70, 18041088204.37
2023-11-15, 35545.20, 694845286838.96, 22330924588.06
2023-11-16, 37903.66, 739215831747.26, 28479730068.30
2023-11-17, 36201.52, 707488742969.56, 12023334732.15
2023-11-18, 36527.76, 714651953916.87, 22683923623.96
2023-11-19, 36582.37, 715117663450.34, 8877846889.35
2023-11-19, 37453.42, 732556739928.55, 11462809916.41

Date, Price (USD), Market Cap (USD), Volume (USD)
2023-08-22, 26119.01, 508491920831.35, 9377753161.45
2023-08-23, 26033.68, 506356213378.18, 13702941053.02
2023-08-24, 26450.01, 514955818082.43, 14600566342.21
2023-08-25, 26134.93, 508906955118.32, 11961319630.81
2023-08-26, 26044.04, 507007928705.44, 2582213805.55
2023-08-27, 26002.02, 506086069151.68, 3420999388.36
2023-08-28, 26082.72, 507835678906.78, 4743752357.40
2023-08-29, 26109.27, 508350651765.90, 9995933796.25
2023-08-30, 27730.50, 539045091002.17, 29462388818.84
2023-08-31, 27297.26, 531729400483.32, 16029914124.40
2023-09-01, 25927.42, 505403246528.02, 20360682650.06
2023-09-02, 25812.33, 502687549096.97, 15924588668.89
2023-09-03, 25853.66, 503679892454.51, 8203515572.76
2023-09-04, 25959.60, 505513039060.68, 8301138495.08
2023-09-05, 25829.36, 502409490053.88, 6700578092.44
2023-09-06, 25784.41, 501979376928.42, 7633735596.71
2023-09-07, 25752.96, 501615002105.19, 12225427270.63
2023-09-08, 26192.33, 509837705629.17, 4521997781.16
2023-09-09, 25907.23, 504533063388.22, 8058794338.82
2023-09-10, 25889.33, 504373920218.68, 404806432.52
2023-09-11, 25834.58, 503489661583.33, 6603006234.08
2023-09-12, 25133.30, 489502952545.63, 14859931201.00
2023-09-13, 25866.81, 503997883573.38, 16825266473.05
2023-09-14, 26223.44, 510909474484.66, 12975855576.24
2023-09-15, 26531.40, 516823786025.90, 11739428177.43
2023-09-16, 26634.63, 518872387637.10, 9768889419.72
2023-09-17, 26557.77, 517396850180.92, 1224363671.92
2023-09-18, 26520.99, 516614128895.54, 5791146184.46
2023-09-19, 26741.46, 521346975856.47, 16477839825.06
2023-09-20, 27219.30, 530357673731.02, 12615959842.23
2023-09-21, 27115.85, 529168513966.16, 13497179076.83
2023-09-22, 26561.13, 517743774814.64, 8169328790.75
2023-09-23, 26572.04, 518383856096.96, 9968041758.94
2023-09-24, 26573.92, 517968304453.25, 6583511185.71
2023-09-25, 26249.56, 511787693512.03, 7226298594.50
2023-09-26, 26298.63, 512103393581.80, 11974957450.28
2023-09-27, 26204.76, 511054250889.62, 9786025048.05
2023-09-28, 26350.15, 513713645983.85, 12889674588.32
2023-09-29, 27009.01, 526917684460.41, 16683207554.84
2023-09-30, 26917.20, 524946724658.76, 9059145545.41
2023-10-01, 26969.88, 525936342995.46, 6295435107.56
2023-10-02, 27967.51, 545302108027.21, 9358226524.29
2023-10-03, 27615.06, 538323470357.88, 18127133423.88
2023-10-04, 27439.12, 535605771922.48, 12676657038.29
2023-10-05, 27792.11, 541954661181.11, 10876597601.12
2023-10-06, 27435.87, 534851643044.51, 13376186563.31
2023-10-07, 27958.20, 545154869332.65, 13817979024.52
2023-10-08, 27977.54, 545619681437.40, 7226218924.82
2023-10-09, 27948.10, 544989660641.62, 7141598446.87
2023-10-10, 27593.78, 538282690587.88, 7640029989.22
2023-10-11, 27392.25, 535200388379.76, 10151720983.67
2023-10-12, 26842.19, 523656381533.05, 14608441295.94
2023-10-13, 26729.14, 521607675083.35, 10867640258.93
2023-10-14, 26841.14, 523655619453.74, 14344414895.62
2023-10-15, 26863.18, 523979202939.08, 5543160607.19
2023-10-16, 27150.30, 529643463244.34, 6604845643.43
2023-10-17, 28513.31, 555338775502.11, 22792799561.83
2023-10-18, 28417.72, 555003134086.21, 10403248077.49
2023-10-19, 28328.25, 553311088369.71, 13461030457.56
2023-10-20, 28715.75, 559364043794.77, 11193923144.46
2023-10-21, 29677.39, 579536788709.31, 23561406297.72
2023-10-22, 29920.07, 583719549318.52, 7452489477.48
2023-10-23, 30019.38, 583399133857.25, 11330304246.07
2023-10-24, 32953.26, 641535355789.08, 35558857925.15
2023-10-25, 33846.72, 660676033939.14, 46464714676.19
2023-10-26, 34471.99, 673948847498.82, 23840463172.50
2023-10-27, 34174.45, 667401630872.58, 17712548549.58
2023-10-28, 33899.09, 662119938018.30, 14148818689.50
2023-10-29, 34092.63, 665892923223.98, 8431785274.87
2023-10-30, 34556.24, 674293769229.61, 10359013389.43
2023-10-31, 34498.70, 673508057017.64, 17075173423.65
2023-11-01, 34672.29, 676319525450.08, 16419150928.65
2023-11-02, 35457.45, 692543794894.76, 18642295524.91
2023-11-03, 34924.06, 681560028736.55, 20690186421.96
2023-11-04, 34731.38, 677974451476.06, 17254049537.00
2023-11-05, 35048.41, 685385094861.72, 10001404422.94
2023-11-06, 35061.93, 684647430279.33, 12796779677.52
2023-11-07, 35031.27, 683644463783.06, 12717348149.54
2023-11-08, 35436.54, 691660755958.35, 18582602380.37
2023-11-09, 35795.08, 699187515031.69, 14717120833.22
2023-11-10, 36768.42, 717022051490.41, 38190964507.16
2023-11-11, 37344.25, 730760729870.50, 23152060053.42
2023-11-12, 37122.72, 720323851790.69, 12033297219.97
2023-11-13, 37067.70, 725016899532.04, 8831221164.41
2023-11-14, 36549.16, 714263437353.70, 18041088204.37
2023-11-15, 35545.20, 694845286838.96, 22330924588.06
2023-11-16, 37903.66, 739215831747.26, 28479730068.30
2023-11-17, 36201.52, 707488742969.56, 12023334732.15
2023-11-18, 36527.76, 714651953916.87, 22683923623.96
2023-11-19, 36582.37, 715117663450.34, 8877846889.35
2023-11-19, 37506.79, 732556739928.55, 11811133009.11

Date, Price (USD), Market Cap (USD), Volume (USD)
2023-05-24, 27222.94, 527528695688.76, 11685763863.31
2023-05-25, 26338.95, 510987979871.22, 17477200137.11
2023-05-26, 26475.61, 513295724355.70, 11953749225.49
2023-05-27, 26717.99, 517973731437.94, 10994037071.45
2023-05-28, 26848.24, 520461980942.25, 6029471707.90
2023-05-29, 28110.31, 544879177078.81, 13144599279.48
2023-05-30, 27759.75, 538430950369.50, 13483205892.54
2023-05-31, 27713.91, 537414074116.50, 12766436369.82
2023-06-01, 27245.47, 528464394082.94, 10001106221.65
2023-06-02, 26824.10, 520271910707.11, 12156086970.87
2023-06-03, 27247.74, 528508990069.21, 15428145241.78
2023-06-04, 27066.37, 525209390395.51, 6673279605.63
2023-06-05, 27315.45, 529630092281.39, 6098045626.05
2023-06-06, 25792.62, 500593893699.22, 21208433571.87
2023-06-07, 27216.62, 527295592028.08, 22188018260.83
2023-06-08, 26346.24, 510979921090.63, 14723854336.09
2023-06-09, 26507.91, 514279355771.50, 10197924963.78
2023-06-10, 26469.58, 513226142603.12, 10464066236.48
2023-06-11, 25858.12, 501653860264.20, 9755626714.24
2023-06-12, 25916.58, 502683000962.43, 10439993428.37
2023-06-13, 25910.36, 502562686069.17, 9761691909.32
2023-06-14, 25872.21, 501752262681.72, 9921875985.89
2023-06-15, 25107.75, 487262840554.67, 11982737579.70
2023-06-16, 25564.60, 495788386559.10, 15184095954.03
2023-06-17, 26327.33, 510906153487.61, 13604025863.64
2023-06-18, 26501.04, 514331114457.82, 9533422254.89
2023-06-19, 26333.09, 511384956032.88, 8589379740.12
2023-06-20, 26779.39, 519667661979.18, 6651894946.45
2023-06-21, 28330.89, 549330089183.52, 19958565664.55
2023-06-22, 30101.76, 584070487996.79, 23757254196.78
2023-06-23, 29935.63, 581473706978.93, 19613389213.80
2023-06-24, 30629.24, 594588611688.31, 22630955878.97
2023-06-25, 30537.82, 592912110031.52, 11736119929.84
2023-06-26, 30454.76, 591387700082.11, 12076819255.30
2023-06-27, 30285.51, 587134340343.62, 16032184116.63
2023-06-28, 30693.55, 595427193050.23, 14411853963.11
2023-06-29, 30083.48, 584187696961.38, 8489428028.03
2023-06-30, 30466.61, 591688337868.84, 12545425127.45
2023-07-01, 30480.78, 591722375245.77, 21422361050.82
2023-07-02, 30583.62, 593625140902.56, 4210431244.43
2023-07-03, 30571.89, 593627203721.85, 7236318143.91
2023-07-04, 31134.71, 604507839820.10, 14755008156.78
2023-07-05, 30775.62, 598449423994.13, 12403890725.26
2023-07-06, 30484.79, 592386606697.32, 10260132141.46
2023-07-07, 29990.06, 583429029204.25, 21776707863.50
2023-07-08, 30315.27, 588811434763.89, 13018507892.81
2023-07-09, 30264.20, 587678367157.99, 5608541981.76
2023-07-10, 30169.87, 585883986681.17, 7559670230.19
2023-07-11, 30394.28, 590311894648.75, 12835219756.97
2023-07-12, 30620.81, 594749192359.14, 11753418050.42
2023-07-13, 30407.42, 590629381260.71, 13072555444.26
2023-07-14, 31446.01, 610725509598.85, 21254274345.70
2023-07-15, 30311.83, 588107447250.13, 21977151420.85
2023-07-16, 30297.97, 588642134563.52, 6233916918.78
2023-07-17, 30237.33, 586391434733.72, 8356410453.56
2023-07-18, 30147.86, 585500720965.11, 10974383371.55
2023-07-19, 29848.03, 579708613537.52, 13152758553.03
2023-07-20, 29919.87, 581327322356.87, 8545620844.33
2023-07-21, 29787.04, 579308712612.26, 11117456853.46
2023-07-22, 29914.68, 581397880391.42, 8492627980.93
2023-07-23, 29710.16, 577068525402.12, 6745541064.87
2023-07-24, 30057.96, 584296796267.48, 7427606999.41
2023-07-25, 29184.90, 567051778655.84, 15195244950.84
2023-07-26, 29222.97, 568019115128.76, 7929844775.36
